MATERIAL;;Etiquetas de fila;NOMBRE PRODUCTO;  PRECIO  ; TOTAL BOLSAS/CAJAS;TOTAL STAND BODEGA;TOTAL EXHIBICIÓN;TOTAL CARRITO;FALTA FACTU FEEAN;VENTA INTERNA FALTA SALIDA;VITRINAS EXTERIOR;INVENTARIO FISICO;INVENTARIO SAP;DIFERENCIA;VALOR INVENTARIO;DESCONTAR;INGRESAR;Observación
116000000000000765;0765;CHAQUETAS;CHAQUETA BEE PUFFER HOMBRE VERDE XXL; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000766;0766;CHAQUETAS;CHAQUETA BEE PUFFER MUJER AZUL XS; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000767;0767;CHAQUETAS;CHAQUETA BEE PUFFER MUJER AZUL S; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000768;0768;CHAQUETAS;CHAQUETA BEE PUFFER MUJER AZUL M; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000769;0769;CHAQUETAS;CHAQUETA BEE PUFFER MUJER AZUL L; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000770;0770;CHAQUETAS;CHAQUETA BEE PUFFER MUJER AZUL XL; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000771;0771;CHAQUETAS;CHAQUETA BEE PUFFER HOMBRE AZUL S; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000772;0772;CHAQUETAS;CHAQUETA BEE PUFFER HOMBRE AZUL M; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000773;0773;CHAQUETAS;CHAQUETA BEE PUFFER HOMBRE AZUL L; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000774;0774;CHAQUETAS;CHAQUETA BEE PUFFER HOMBRE AZUL XL; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000775;0775;CHAQUETAS;CHAQUETA BEE PUFFER HOMBRE AZUL XXL; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000776;0776;CHAQUETAS;CHAQUETA BEE PUFFER MUJER GRIS XS; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000777;0777;CHAQUETAS;CHAQUETA BEE PUFFER MUJER GRIS S; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000778;0778;CHAQUETAS;CHAQUETA BEE PUFFER MUJER GRIS M; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000779;0779;CHAQUETAS;CHAQUETA BEE PUFFER MUJER GRIS L; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000780;0780;CHAQUETAS;CHAQUETA BEE PUFFER MUJER GRIS XL; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000781;0781;CHAQUETAS;CHAQUETA BEE PUFFER HOMBRE GRIS S; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000782;0782;CHAQUETAS;CHAQUETA BEE PUFFER HOMBRE GRIS M; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000783;0783;CHAQUETAS;CHAQUETA BEE PUFFER HOMBRE GRIS L; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000784;0784;CHAQUETAS;CHAQUETA BEE PUFFER HOMBRE GRIS XL; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000785;0785;CHAQUETAS;CHAQUETA BEE PUFFER HOMBRE GRIS XXL; 170.000 ;;;;;;;;0;0;0;$ 0;;;OK
