MATERIAL;NOMBRE PRODUCTO;INVENTARIO FISICO;INVENTARIO SAP;DIFERENCIA
116000000000000316;CHAQUETA COMBINADA TURQUESA MUJER M;4;4;0
116000000000000315;CHAQUETA COMBINADA TURQUESA MUJER L;3;3;0
116000000000000314;CHAQUETA COMBINADA TURQUESA MUJER XL;3;3;0
116000000000000381;CHAQUETA COMBINADA TURQUESA MUJER XXL;3;3;0
116000000000000323;CHAQUETA COMBINADA VERDE HOMBRE XS;0;0;0
116000000000000322;CHAQUETA COMBINADA VERDE HOMBRE S;4;4;0
116000000000000321;CHAQUETA COMBINADA VERDE HOMBRE M;0;1;1
116000000000000320;CHAQUETA COMBINADA VERDE HOMBRE L;0;0;0
116000000000000319;CHAQUETA COMBINADA VERDE HOMBRE XL;0;0;0
116000000000000383;CHAQUETA COMBINADA VERDE HOMBRE XXL;4;4;0
116000000000000328;CHAQUETA COMBINADA VERDE MUJER XS;1;1;0
116000000000000327;CHAQUETA COMBINADA VERDE MUJER S;1;1;0
116000000000000326;CHAQUETA COMBINADA VERDE MUJER M;0;0;0
116000000000000325;CHAQUETA COMBINADA VERDE MUJER L;1;1;0
116000000000000324;CHAQUETA COMBINADA VERDE MUJER XL;2;2;0
116000000000000219;CHAQUETA BEISBOLERA GRIS NEGRA HOMBRE XS;11;11;0
116000000000000220;CHAQUETA BEISBOLERA GRIS NEGRA HOMBRE S;4;4;0
116000000000000221;CHAQUETA BEISBOLERA GRIS NEGRA HOMBRE M;0;0;0
116000000000000222;CHAQUETA BEISBOLERA GRIS NEGRA HOMBRE L;0;0;0
116000000000000223;CHAQUETA BEISBOLERA GRIS NEGRA HOMBRE XL;3;3;0
116000000000000214;CHAQUETA BEISBOLERA NEGRA MARFIL MUJERXS;10;10;0
116000000000000215;CHAQUETA BEISBOLERA NEGRA MARFIL MUJER S;0;1;1
116000000000000217;CHAQUETA BEISBOLERA NEGRA MARFIL MUJER L;3;3;0
116000000000000216;CHAQUETA BEISBOLERA NEGRA MARFIL MUJER M;1;1;0
116000000000000218;CHAQUETA BEISBOLERA NEGRA MARFIL MUJERXL;4;4;0
116000000000000487;CHAQUETA ROMPEVIENTOS AMARILA XS;3;3;0
116000000000000488;CHAQUETA ROMPEVIENTOS AMARILA S;5;5;0
116000000000000489;CHAQUETA ROMPEVIENTOS AMARILA M;0;3;3
116000000000000490;CHAQUETA ROMPEVIENTOS AMARILA L;3;3;0
116000000000000491;CHAQUETA ROMPEVIENTOS AMARILA XL;3;3;0
116000000000000492;CHAQUETA ROMPEVIENTOS AMARILA XXL;4;4;0
116000000000000505;CHAQUETA ROMPEVIENTOS MORADA XS;0;0;0
116000000000000506;CHAQUETA ROMPEVIENTOS MORADA S;1;1;0
116000000000000507;CHAQUETA ROMPEVIENTOS MORADA M;2;2;0
116000000000000508;CHAQUETA ROMPEVIENTOS MORADA L;7;7;0
116000000000000509;CHAQUETA ROMPEVIENTOS MORADA XL;6;6;0
116000000000000510;CHAQUETA ROMPEVIENTOS MORADA XXL;3;3;0
116000000000000499;CHAQUETA ROMPEVIENTOS TURQUESA XS;6;6;0
116000000000000500;CHAQUETA ROMPEVIENTOS TURQUESA S;5;5;0
116000000000000502;CHAQUETA ROMPEVIENTOS TURQUESA L;9;9;0
116000000000000501;CHAQUETA ROMPEVIENTOS TURQUESA M;4;4;0
116000000000000503;CHAQUETA ROMPEVIENTOS TURQUESA XL;14;14;0
116000000000000504;CHAQUETA ROMPEVIENTOS TURQUESA XXL;9;8;-1
116000000000000493;CHAQUETA ROMPEVIENTOS VERDE XS;5;5;0
116000000000000494;CHAQUETA ROMPEVIENTOS VERDE S;3;3;0
116000000000000495;CHAQUETA ROMPEVIENTOS VERDE M;4;4;0
116000000000000496;CHAQUETA ROMPEVIENTOS VERDE L;1;1;0
116000000000000497;CHAQUETA ROMPEVIENTOS VERDE XL;4;4;0
116000000000000498;CHAQUETA ROMPEVIENTOS VERDE XXL;3;3;0
116000000000000746;CHAQUETA BEE PUFFER MUJER MORADA XS;0;0;0
116000000000000747;CHAQUETA BEE PUFFER MUJER MORADA S;0;0;0
116000000000000748;CHAQUETA BEE PUFFER MUJER MORADA M;0;0;0
116000000000000749;CHAQUETA BEE PUFFER MUJER MORADA L;0;0;0
116000000000000750;CHAQUETA BEE PUFFER MUJER MORADA XL;0;0;0
116000000000000751;CHAQUETA BEE PUFFER HOMBRE MORADA S;0;0;0
116000000000000752;CHAQUETA BEE PUFFER HOMBRE MORADA M;0;0;0
116000000000000753;CHAQUETA BEE PUFFER HOMBRE MORADA L;0;0;0
116000000000000754;CHAQUETA BEE PUFFER HOMBRE MORADA XL;0;0;0
116000000000000755;CHAQUETA BEE PUFFER HOMBRE MORADA XXL;0;0;0
116000000000000756;CHAQUETA BEE PUFFER MUJER VERDE XS;0;0;0
116000000000000757;CHAQUETA BEE PUFFER MUJER VERDE S;0;0;0
116000000000000758;CHAQUETA BEE PUFFER MUJER VERDE M;0;0;0
116000000000000759;CHAQUETA BEE PUFFER MUJER VERDE L;0;0;0
116000000000000760;CHAQUETA BEE PUFFER MUJER VERDE XL;0;0;0
116000000000000761;CHAQUETA BEE PUFFER HOMBRE VERDE S;0;0;0
116000000000000762;CHAQUETA BEE PUFFER HOMBRE VERDE M;0;0;0
116000000000000763;CHAQUETA BEE PUFFER HOMBRE VERDE L;0;0;0
116000000000000764;CHAQUETA BEE PUFFER HOMBRE VERDE XL;0;0;0
116000000000000765;CHAQUETA BEE PUFFER HOMBRE VERDE XXL;0;0;0
116000000000000766;CHAQUETA BEE PUFFER MUJER AZUL XS;0;0;0
116000000000000767;CHAQUETA BEE PUFFER MUJER AZUL S;0;0;0
116000000000000768;CHAQUETA BEE PUFFER MUJER AZUL M;0;0;0
116000000000000769;CHAQUETA BEE PUFFER MUJER AZUL L;0;0;0
116000000000000770;CHAQUETA BEE PUFFER MUJER AZUL XL;0;0;0
116000000000000771;CHAQUETA BEE PUFFER HOMBRE AZUL S;0;0;0
116000000000000772;CHAQUETA BEE PUFFER HOMBRE AZUL M;0;0;0
116000000000000773;CHAQUETA BEE PUFFER HOMBRE AZUL L;0;0;0
116000000000000774;CHAQUETA BEE PUFFER HOMBRE AZUL XL;0;0;0
116000000000000775;CHAQUETA BEE PUFFER HOMBRE AZUL XXL;0;0;0
116000000000000776;CHAQUETA BEE PUFFER MUJER GRIS XS;0;0;0
116000000000000777;CHAQUETA BEE PUFFER MUJER GRIS S;0;0;0
116000000000000778;CHAQUETA BEE PUFFER MUJER GRIS M;0;0;0
116000000000000779;CHAQUETA BEE PUFFER MUJER GRIS L;0;0;0
116000000000000780;CHAQUETA BEE PUFFER MUJER GRIS XL;0;0;0
116000000000000781;CHAQUETA BEE PUFFER HOMBRE GRIS S;0;0;0
116000000000000782;CHAQUETA BEE PUFFER HOMBRE GRIS M;0;0;0
116000000000000783;CHAQUETA BEE PUFFER HOMBRE GRIS L;0;0;0
116000000000000784;CHAQUETA BEE PUFFER HOMBRE GRIS XL;0;0;0
116000000000000785;CHAQUETA BEE PUFFER HOMBRE GRIS XXL;0;0;0
116000000000000440;HOODIE CERRADO AMARILLO XS;14;14;0
116000000000000441;HOODIE CERRADO AMARILLO S;12;12;0
116000000000000442;HOODIE CERRADO AMARILLO M;8;8;0
116000000000000443;HOODIE CERRADO AMARILLO L;9;9;0
116000000000000444;HOODIE CERRADO AMARILLO XL;11;11;0
116000000000000445;HOODIE CERRADO AMARILLO XXL;12;12;0
